标题链接,y,r_链接,r,zy2
"王树国会见招商银行西安分行党委书记、行长钱曦一行
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130451.htm,20,3月20日下午，校长王树国在创新港会见招商银行西安分行党委书记、行长钱曦一行。校党委副书记赵昌昌陪同。王树国对钱曦一行到来表示热烈欢迎。他指出，陕西省委省政府高度重视科技创新工作，支持学校将创新港打造成为全省最大孵化器、“科技成果转化特区”...
"西安交通大学党委理论学习中心组开展党史学习教育专题研讨
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130448.htm,20,3月19日下午，校党委书记卢建军主持西安交通大学党委理论学习中心组党史学习教育专题学习研讨，认真学习习近平总书记在党史学习教育动员大会上的重要讲话精神和《中国革命历史是最好的营养剂》《学好党史、新中国史、改革开放史、社会主义发展史》两个篇目...
"【文明巡礼】幼儿园：文化建设引领发展 多元实践立德树人
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130416.htm,19,"在习近平新时代中国特色社会主义思想引领下，交大幼儿园深入贯彻落实党的十九大精神,以立德树人为根本任务，以“培养具有国际视野、身心健康、全面发展的儿童”为教育目标，以“尊重儿童、张扬个性”为教育理念，以“党建带园建，文化促发展”为精神文明建..."
"西安交大物理试验班毕业生以第一作者身份在《科学》发表科研成果
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130401.htm,19,2018年，一种新的神奇材料“魔角扭转双层石墨烯”被麻省理工大学科研人员实现。这种材料迅速在物理界掀起一阵波澜。它既具有理论上的简洁，又在实验中表现出很多奇异现象，其中很多现象今天依然没有被完全理解。最近，来自哈佛大学的研究组在这一领域再次...
"陕投集团党委书记、董事长袁小宁一行来校洽谈合作
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130385.htm,19,3月18日下午，陕投集团党委书记、董事长袁小宁一行到中国西部科技创新港洽谈合作，西安交通大学党委书记卢建军，校长王树国，校党委常委、学科办主任别朝红出席座谈会。双方围绕进一步深化校企合作、建立产学研深度融合的科技创新合作模式进行了深入交流并...
"【校友建功立业风采】董杏丽：用国际研发做“中国原创”产品
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130363.htm,18,"董杏丽, 1993-2000年就读于西安交通大学电力系统及其自动化专业，取得学士和硕士学位；2004年获西安交通大学电气专业博士学位。现任施耐德电气能源自动化全球研发副总裁。董杏丽和她的团队已经参与了多项全球标准制定，同时积极主动参与弧光保护等中国标准..."
"【脱贫攻坚 交大足迹】青春力量 扶贫路上的社会实践团队（二）
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130359.htm,18,青春由磨砺而出彩，人生因奋斗而升华。在脱贫攻坚战场上，活跃着这样一批交大学子，他们围绕脱贫攻坚、乡村振兴等开展社会调研，深入基层一线，体悟扶贫内涵，在实践中传承西迁精神，在扶贫路上贡献青春力量
"西安交大科研人员在固态荧光材料研究领域取得重要进展
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130372.htm,18,​荧光材料因其在化学传感器、有机发光二极管、细胞成像造影剂等方面的广泛应用受到越来越多的关注。与无机发光材料相比，有机发光材料不仅具有良好的溶液可加工性，而且成本低廉，易于制备，是柔性显示器的理想材料。然而，由于传统的荧光发色团在固体中...
"【陕西新闻联播】我省发挥高校创新资源聚集优势 建设开放共享创新平台
                    
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130351.htm,18,​报道链接：http://www.snrtv.com/snr_sxxwlb/a/2021/03/17/19564343.htm
"【文汇报整版】彭康：在国家利益前提下，考虑学校、个人利益
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130348.htm,18,【学术档案】 彭康（1901—1968），马克思主义哲学家、教育家。江西萍乡人。早年留学日本，回国后加入创造社，先后翻译马克思的《费尔巴哈论纲》、恩格斯的《费尔巴哈论》等经典哲学著作。1930年参加“左联”，并参与组织中国社会科学家联盟。曾任中共中央...
"【陕西日报】西安交大联合研究成果在《自然》发表
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130343.htm,17,近日，西安交通大学联合研究成果在《自然》发表，该论文的发表标志着西安交大在古DNA研究领域进入世界先进水平，是目前国内外开展的东亚地区最大规模的考古基因组学研究。西安交大生命科学与技术学院张虎勤教授带领的生物信息人类学团队与厦门大学王传超教...
"【陕西日报头版】刘国中在调研创新驱动发展时强调：建好用好平台 催生科创企业 推动创新驱动发展尽快见...
                    
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130312.htm,17,​3月16日，省委书记刘国中调研创新驱动发展。他强调，要深入学习贯彻习近平总书记关于创新驱动发展的重要论述和来陕考察重要讲话，集聚我省创新资源，建好创新成果产业化平台，发挥好政府、高校、院所、企业、金融机构作用，尽快形成一批科创项目、科创企...
"西安交大科研团队在等离子体物理基础科研领域取得新进展
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130340.htm,17,离子束与等离子体相互作用是高能量密度物理、聚变科学以及天体物理等重大领域的基础前沿课题，同时也在加速器、航天和医疗相关的等离子体技术领域有重要研究价值。一方面，离子束与等离子体相互作用涉及复杂的量子多体动力学过程，尤其当离子束能量较低或...
